               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031323,           0.0087384,            0.011674,             0.83033,             0.83004,             0.89175,             0.63827,             0.02551,            0.008473,            0.014365,            0.006535,            0.006535,            0.006535
                  37,            0.031298,           0.0085463,            0.010667,             0.83956,             0.83413,              0.8961,              0.6469,            0.026235,           0.0084771,            0.013976,            0.006436,            0.006436,            0.006436
                  38,            0.030823,           0.0086974,            0.010782,             0.88787,             0.82116,             0.89537,             0.63969,            0.025196,           0.0091906,            0.014022,            0.006337,            0.006337,            0.006337
                  39,            0.030409,           0.0085411,            0.010445,             0.85487,             0.84671,             0.89396,             0.64931,            0.025707,           0.0084246,            0.012929,            0.006238,            0.006238,            0.006238
                  40,            0.030297,           0.0083321,            0.010105,             0.86033,             0.86719,             0.90971,             0.66442,            0.026277,           0.0084304,             0.01181,            0.006139,            0.006139,            0.006139
                  41,            0.030033,           0.0088911,            0.009984,             0.85605,             0.86882,             0.91275,             0.66852,            0.024035,           0.0082267,            0.011329,             0.00604,             0.00604,             0.00604
                  42,            0.030073,           0.0086091,            0.010333,             0.87599,             0.87824,             0.92687,             0.68191,            0.025276,           0.0081927,            0.011063,            0.005941,            0.005941,            0.005941
                  43,            0.029637,           0.0085391,            0.010033,             0.90478,             0.87863,             0.91939,             0.68112,            0.024969,           0.0081208,            0.010796,            0.005842,            0.005842,            0.005842
                  44,            0.029239,           0.0086284,           0.0097861,             0.88983,             0.88073,             0.91996,              0.6854,            0.024366,           0.0081696,            0.010874,            0.005743,            0.005743,            0.005743
                  45,            0.029308,           0.0087015,            0.009466,             0.86288,             0.87532,             0.91786,             0.66224,            0.025101,           0.0081919,            0.010104,            0.005644,            0.005644,            0.005644
                  46,            0.029197,            0.008584,           0.0091578,             0.88792,             0.88729,             0.93267,               0.686,             0.02407,           0.0083255,           0.0096612,            0.005545,            0.005545,            0.005545
                  47,            0.028951,           0.0086335,           0.0087772,             0.89188,             0.88625,             0.92827,             0.68824,            0.024262,           0.0081558,           0.0094208,            0.005446,            0.005446,            0.005446
                  48,            0.028848,           0.0084126,           0.0087824,             0.92648,              0.8779,             0.93898,             0.70431,            0.023951,           0.0082793,           0.0093267,            0.005347,            0.005347,            0.005347
                  49,             0.02847,           0.0084504,           0.0088273,             0.88805,             0.89314,             0.93319,             0.68653,            0.023898,           0.0081043,           0.0095254,            0.005248,            0.005248,            0.005248
                  50,            0.028307,           0.0084722,           0.0083576,             0.91204,             0.89236,             0.93993,             0.68137,            0.023689,           0.0080502,           0.0092712,            0.005149,            0.005149,            0.005149
