               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  33,            0.025432,            0.006851,            0.022258,             0.77595,             0.42931,             0.47011,             0.33925,            0.020566,           0.0048584,            0.021777,            0.006832,            0.006832,            0.006832
                  34,            0.025049,           0.0068423,            0.021915,             0.78794,             0.41515,             0.45421,             0.32418,            0.021053,           0.0048277,            0.020867,            0.006733,            0.006733,            0.006733
                  35,            0.025266,           0.0071829,            0.021844,             0.84594,             0.39016,             0.48897,             0.35219,            0.019902,           0.0047464,            0.019561,            0.006634,            0.006634,            0.006634
                  36,            0.025113,           0.0070593,            0.020523,             0.81177,             0.44702,             0.51762,             0.37022,            0.020837,           0.0047676,             0.01891,            0.006535,            0.006535,            0.006535
                  37,            0.025193,            0.006907,            0.019664,             0.80349,             0.46351,             0.52551,             0.37749,            0.020851,           0.0047196,            0.018878,            0.006436,            0.006436,            0.006436
                  38,            0.024947,           0.0071887,            0.019401,             0.73232,             0.51402,             0.53108,             0.38867,            0.019899,           0.0047466,            0.018127,            0.006337,            0.006337,            0.006337
                  39,            0.024893,           0.0068212,            0.020375,             0.86079,              0.4411,             0.55451,             0.39754,            0.020153,           0.0047219,            0.018046,            0.006238,            0.006238,            0.006238
                  40,            0.024372,           0.0065911,            0.018172,             0.73062,             0.51228,             0.57052,             0.41725,            0.019999,           0.0046779,            0.017672,            0.006139,            0.006139,            0.006139
                  41,            0.024331,           0.0069849,             0.01846,             0.80327,             0.49659,               0.579,             0.41784,            0.020016,           0.0046655,            0.017142,             0.00604,             0.00604,             0.00604
                  42,            0.024128,           0.0070171,            0.018353,             0.78642,             0.51329,             0.59965,             0.43047,            0.020746,           0.0047587,             0.01641,            0.005941,            0.005941,            0.005941
                  43,            0.024013,            0.006729,            0.017682,             0.76543,             0.55452,             0.59488,             0.42105,             0.02027,           0.0047514,            0.016278,            0.005842,            0.005842,            0.005842
                  44,            0.024146,           0.0068956,            0.017411,             0.72135,             0.58749,             0.62237,             0.44798,            0.020444,           0.0047089,            0.015733,            0.005743,            0.005743,            0.005743
                  45,            0.023794,           0.0067916,            0.016843,             0.78049,             0.58738,             0.63322,             0.46175,            0.019573,           0.0046659,            0.015453,            0.005644,            0.005644,            0.005644
                  46,            0.024086,           0.0066788,            0.016092,             0.84198,             0.54856,             0.65114,             0.46493,            0.019928,           0.0047043,            0.014959,            0.005545,            0.005545,            0.005545
                  47,            0.023764,           0.0065335,            0.015624,             0.80198,             0.56137,             0.65595,             0.47097,            0.019996,           0.0047002,             0.01453,            0.005446,            0.005446,            0.005446
                  48,            0.023146,           0.0068151,            0.015187,             0.74463,             0.62189,             0.67787,             0.50762,            0.019512,            0.004631,            0.013893,            0.005347,            0.005347,            0.005347
                  49,            0.023456,           0.0067481,            0.015561,             0.76199,             0.58482,             0.65992,             0.48885,            0.019834,           0.0045815,               0.014,            0.005248,            0.005248,            0.005248
                  50,            0.022932,           0.0067316,            0.015103,             0.79959,             0.57845,             0.66343,             0.49674,            0.019439,           0.0045458,            0.013551,            0.005149,            0.005149,            0.005149
                  51,            0.023373,           0.0064997,            0.014782,             0.77584,             0.58913,             0.68967,              0.5101,            0.019464,           0.0046468,            0.013351,             0.00505,             0.00505,             0.00505
                  52,            0.022887,           0.0063562,            0.014251,             0.82495,             0.58315,             0.69314,             0.50337,            0.018614,           0.0046078,            0.012752,            0.004951,            0.004951,            0.004951
                  53,            0.022785,           0.0065524,            0.013505,             0.76713,             0.64301,             0.71545,             0.52969,             0.01902,           0.0045797,            0.012574,            0.004852,            0.004852,            0.004852
                  54,            0.022533,           0.0063558,            0.012832,              0.7876,             0.67304,             0.72212,             0.53275,            0.018552,           0.0045496,            0.011623,            0.004753,            0.004753,            0.004753
                  55,             0.02277,           0.0065988,            0.012817,             0.77413,             0.66382,             0.73635,             0.53736,            0.018594,           0.0045174,            0.011533,            0.004654,            0.004654,            0.004654
                  56,             0.02265,           0.0064014,            0.012534,             0.75636,             0.68592,             0.72135,             0.52934,             0.01911,           0.0045088,            0.011473,            0.004555,            0.004555,            0.004555
                  57,            0.022404,           0.0065321,            0.012491,             0.77615,             0.67784,             0.74532,             0.55288,            0.018966,           0.0044213,            0.011418,            0.004456,            0.004456,            0.004456
                  58,            0.022058,            0.006486,            0.012104,             0.78996,              0.6701,              0.7302,             0.54246,             0.01843,           0.0045213,            0.011404,            0.004357,            0.004357,            0.004357
                  59,            0.022112,           0.0063197,            0.011665,             0.73594,             0.73779,              0.7429,             0.54858,             0.01934,           0.0046009,            0.010934,            0.004258,            0.004258,            0.004258
                  60,            0.022192,           0.0060868,            0.012063,              0.7661,             0.66647,             0.73886,             0.54981,            0.018623,            0.004438,             0.01079,            0.004159,            0.004159,            0.004159
                  61,             0.02233,            0.006233,            0.011557,             0.79981,             0.69571,             0.74373,              0.5665,            0.018244,           0.0045013,            0.010741,             0.00406,             0.00406,             0.00406
                  62,            0.021743,           0.0060582,            0.011049,             0.76933,             0.73404,              0.7558,             0.55732,            0.018565,           0.0045079,            0.010241,            0.003961,            0.003961,            0.003961
